file_path,group,animal_id,sex
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C1H1ODEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C1H1ODEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C1H1OIEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C1H1OIEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C1H2ODEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C1H2ODEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C1H2OIEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C1H2OIEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C1H3ODEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C1H3ODEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C1H3OIEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C1H3OIEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C1H4ODEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C1H4ODEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C1H4OIEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C1H4OIEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C2H1ODEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C2H1ODEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C2H1OIEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C2H1OIEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C2H2ODEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C2H2ODEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C2H2OIEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C2H2OIEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C2H3ODEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C2H3ODEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C2H3OIEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C2H3OIEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C2H4ODEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C2H4ODEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IC57S0C2H4OIEspontaneoFotox10000.mat,Ctrl-Foto-H,IC57S0C2H4OIEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IIC57S0C1H1ODEspontaneoFotox10000.mat,Ctrl-Foto-H,IIC57S0C1H1ODEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IIC57S0C1H1OIEspontaneoFotox10000.mat,Ctrl-Foto-H,IIC57S0C1H1OIEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IIC57S0C1H2OIEspontaneoFotox10000.mat,Ctrl-Foto-H,IIC57S0C1H2OIEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IIC57S0C1H3ODEspontaneoFotox10000.mat,Ctrl-Foto-H,IIC57S0C1H3ODEspontaneoFotox10000,Hembras
/Users/ignaciomgb/Library/Mobile Documents/com~apple~CloudDocs/Antigravity/AnalisisAleSteph/Analisis Ale/Datos/Control/Foto/Hembras/IIC57S0C1H3OIEspontaneoFotox10000.mat,Ctrl-Foto-H,IIC57S0C1H3OIEspontaneoFotox10000,Hembras
