# referencia de ruido: PSD promedio de los archivos de Datos/Ruido (Welch, notch 60Hz)
freq_hz,psd_medio
0.5,0.00044428057448746045
1.0,0.00041688519240636155
1.5,0.00018217695804912252
2.0,0.00010053300720551119
2.5,6.389903124331949e-05
3.0,4.7148734779461556e-05
3.5,3.6125449814467457e-05
4.0,2.884754203900994e-05
4.5,2.4349016108795586e-05
5.0,2.08230800055346e-05
5.5,1.9101438368152764e-05
6.0,1.7124351300065756e-05
6.5,1.6355149299371946e-05
7.0,1.4430087140190792e-05
7.5,1.2038464433913058e-05
8.0,1.0546564344206898e-05
8.5,9.734010352068173e-06
9.0,9.969710438521674e-06
9.5,4.0294973218794085e-05
10.0,0.00011189803532291295
10.5,3.1735413783548455e-05
11.0,7.2357093942899606e-06
11.5,5.877452089462406e-06
12.0,5.212509714569498e-06
12.5,5.235605416192251e-06
13.0,5.71964352768812e-06
13.5,5.375612759632303e-06
14.0,4.305148975030458e-06
14.5,3.953556572258283e-06
15.0,3.7622943939468565e-06
15.5,3.6049878747245038e-06
16.0,3.5426021516380717e-06
16.5,4.221410826826136e-06
17.0,3.884182674686601e-06
17.5,3.0433741638865863e-06
18.0,2.9954842871782655e-06
18.5,2.926665710404366e-06
19.0,2.9325726885839074e-06
19.5,1.0510503483385074e-05
20.0,3.429124626668352e-05
20.5,1.084929230456224e-05
21.0,2.668073460491192e-06
21.5,2.3526309187177387e-06
22.0,2.205428245779504e-06
22.5,2.456891519047786e-06
23.0,3.4236061650242543e-06
23.5,3.2238592123896004e-06
24.0,2.360359327205424e-06
24.5,2.368164416521921e-06
25.0,2.716879878187504e-06
25.5,2.315080268408016e-06
26.0,2.338174353767539e-06
26.5,4.018481623665588e-06
27.0,3.480191584497718e-06
27.5,2.0560101630947017e-06
28.0,1.8782586738492399e-06
28.5,1.8442735670416103e-06
29.0,1.8574782697310234e-06
29.5,5.368905216539908e-06
30.0,1.5094710564357631e-05
30.5,5.587903206713193e-06
31.0,1.912925527563015e-06
31.5,1.8117112513410659e-06
32.0,1.7238251274627223e-06
32.5,2.032440376040734e-06
33.0,2.9181343008744183e-06
33.5,2.8124534823695586e-06
34.0,1.885115583422177e-06
34.5,1.8619809165871778e-06
35.0,2.938451505807841e-06
35.5,2.4336074228907207e-06
36.0,1.9636111788945234e-06
36.5,2.7358714073995582e-06
37.0,2.40285202145684e-06
